epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,10533.4,1.0952,0.93299,1.33512,0.8313,0.75329,0.79487,0.48833,1.41524,0.9392,1.71547,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,10655.1,1.10278,0.94507,1.34366,0.8352,0.7492,0.79341,0.4879,1.41551,0.94075,1.71603,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,10778.3,1.09679,0.93957,1.33798,0.83641,0.74781,0.79303,0.48673,1.41534,0.94125,1.71588,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,10900.4,1.09298,0.9289,1.33671,0.84796,0.74194,0.7923,0.48646,1.41569,0.94191,1.71584,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,11021.5,1.09267,0.93433,1.33306,0.84668,0.74193,0.7924,0.48654,1.41638,0.94141,1.71736,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,11145,1.09511,0.92988,1.33501,0.84443,0.74015,0.79068,0.48564,1.41716,0.94271,1.71851,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,11268.4,1.0846,0.92048,1.3312,0.84665,0.74181,0.79046,0.48593,1.41615,0.943,1.71753,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,11391.3,1.08621,0.91509,1.32613,0.84632,0.74001,0.78962,0.48572,1.41659,0.94306,1.71847,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,11513.9,1.07902,0.9172,1.32625,0.84746,0.73525,0.78974,0.48578,1.41719,0.94359,1.71969,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,11636.3,1.07619,0.90939,1.3233,0.84774,0.73614,0.78921,0.48579,1.41747,0.94318,1.72031,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,11756.4,1.08,0.90568,1.32534,0.8488,0.73518,0.78889,0.48581,1.41791,0.94273,1.72084,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,11881,1.06902,0.89442,1.31917,0.85192,0.73423,0.78934,0.48613,1.41784,0.94297,1.72122,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,12002.1,1.07082,0.90681,1.31677,0.85256,0.73501,0.78921,0.48616,1.41786,0.94306,1.72202,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,12122.9,1.07128,0.89374,1.31523,0.84801,0.7381,0.78864,0.48597,1.41794,0.94318,1.72275,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,12245.7,1.06007,0.88536,1.31403,0.84647,0.73821,0.78853,0.48635,1.41812,0.94297,1.72337,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,12370,1.05826,0.89149,1.30951,0.84664,0.7369,0.78848,0.48566,1.41835,0.94238,1.72438,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,12495.8,1.06454,0.89351,1.31562,0.84374,0.7383,0.78853,0.48577,1.4195,0.94281,1.72598,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,12620,1.06576,0.88797,1.31618,0.8431,0.73907,0.78806,0.48543,1.41978,0.94232,1.72698,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,12742,1.05742,0.88558,1.31085,0.84459,0.73873,0.78829,0.48496,1.41958,0.94183,1.72766,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,12865,1.05842,0.87291,1.31227,0.84512,0.7375,0.78753,0.48555,1.41902,0.94151,1.72781,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,12986.9,1.05231,0.87947,1.30968,0.84282,0.73684,0.78774,0.4855,1.41911,0.9409,1.7288,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,13110.7,1.03916,0.86576,1.29446,0.84194,0.73489,0.78726,0.48594,1.41897,0.94057,1.72928,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,13233.8,1.04711,0.86786,1.30133,0.84217,0.7352,0.78698,0.48614,1.41815,0.94103,1.72872,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,13356.9,1.04542,0.87205,1.30116,0.84339,0.73333,0.78726,0.48638,1.41854,0.94217,1.73008,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,13480.1,1.04296,0.86494,1.29893,0.84411,0.73338,0.7877,0.4861,1.41835,0.94125,1.73012,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,13602.4,1.03988,0.8599,1.29672,0.84703,0.73211,0.78771,0.48656,1.41969,0.9414,1.7322,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,13725.5,1.03925,0.86962,1.29878,0.8492,0.73182,0.78822,0.48702,1.41979,0.94175,1.73327,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,13848.1,1.0342,0.84918,1.28992,0.8574,0.7271,0.78763,0.4865,1.42038,0.94238,1.73457,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,13970.2,1.03262,0.84885,1.29446,0.85217,0.72841,0.7873,0.48707,1.41985,0.94327,1.73418,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,14093.7,1.02928,0.8505,1.29068,0.85133,0.7289,0.78728,0.48638,1.42023,0.94333,1.73537,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,14215.4,1.02478,0.84314,1.28676,0.8491,0.72918,0.7878,0.48685,1.4209,0.94474,1.73685,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,14337.4,1.02217,0.83388,1.28573,0.85036,0.72891,0.78782,0.48695,1.42139,0.94528,1.73808,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
